,nickname,text,score,like,dislike,time,watch_movie
0,zoo keeper(kimc****),박평식평론가는 그렇게 재밌는영화가 없으면 영화를 무슨재미로 볼까? ㅉ,10,6397,835,2014-08-13 9:04,0
1,samm****,"평점 처음써봐요...진짜 오에스티며 스토리며 영상미며....최고.. .원스를능가한다고생각합니다....배우들연기도최고...말이필요없어요 망설이지마세요..안보면후회합니다...한번더볼의향있습니다...귀가황홀해요 ,...스...",10,3359,370,2014-08-13 10:05,0
2,반우치(dc71****),일단 노래가 엄청좋다.,10,2917,172,2014-08-13 0:20,0
3,라루스(lpl2****),영화가 끝나고나서 작은 락페스티벌에 다녀온 느낌이 들었다,10,2625,189,2014-08-13 8:34,0
4,타자왕(ieew****),원스가 모든 면에서 진화한 느낌. 노래 나올 때 들썩들썩하면서 보았음.,10,2112,237,2014-08-13 2:08,0
5,정뽀리(skyd****),마지막 엔딩크레딧까지 다 보게 만든 영화 !,9,1931,99,2014-08-13 21:26,관람객
6,js_6****,와 마지막 애덤이 lost stars 부르면서 키이라 나이틀리가 자전거 타고 달릴때 전율을 느꼈다,9,1867,59,2014-08-14 18:42,0
7,jeongleader(jhjg****),중간중간에 소름이 돋았음..,10,1614,102,2014-08-13 18:57,관람객
8,oran****,얼마나  가다렸는데...상영관이없다...진짜  너무하네  죄다 명량뿐...천만 넘었으니까다른 좋은 영화들좀보자구..에휴,10,1315,92,2014-08-13 10:40,0
9,나이루(dkdl****),버릴 곡이 하나도 없다. 상영관 늘었으면 좋겠음.,10,1256,70,2014-08-13 16:02,0
10,스펀지송(song****),낫보단 밤에.남자보단 여자에게.커플보단 솔로에게 어울리는 영화,9,1295,179,2014-08-13 21:57,0
11,변신(noob****),주인공 사이의 억지스러운 사랑 이여기가 없어서 좋습니다... 강추합니다. 인생영화 중 하나로...,10,1140,40,2014-08-13 23:37,0
12,반딧불(punn****),피아노 건반이 움직일 때...소름 쫙,10,1095,39,2014-08-13 19:23,0
13,dani****,비긴어게인>>>안녕 헤이즐,10,1216,240,2014-08-13 22:04,관람객
14,이동환(dhor****),좋다 이 영화오랜만에 느껴보는 좋은 기분,10,799,33,2014-08-13 19:01,관람객
15,ssp0****,뭐야....완전재밋는데 평론가평점 너무낮아요ㅜ,9,749,74,2014-08-14 0:02,관람객
16,쥴라이(keep****),멀리 가지 않아서 더 좋았던 영화.,7,604,30,2014-08-15 22:31,관람객
17,seoi****,끝나고나서 Lost Stars가 귓가에 맴도는 영화.. 원스의 진화형이라고 보면 딱일듯!,10,598,43,2014-08-13 11:24,0
18,점(qpr6****),"과하지 않아서 좋다. 작업중 의견차이로 인한 갈등 극복 후 해피앤딩같은 클리셰도 없어서 좋았고, 밴드구성원 한명한명의 스토리에 초점을 맞추기보다는 음악을 만들어가는 과정 하나하나를 담백하게 그려낸 점이 탁월하다",10,562,16,2014-08-15 10:46,관람객
19,은백(wons****),영화 끝나고 바보같이 진짜 1$에 올라와 있을까하며 검색했다.,10,539,30,2014-08-13 19:48,0
20,glem****,"""왜 청춘은 청춘에게 주기엔 낭비인 걸까요""",9,488,19,2014-08-25 22:26,관람객
21,로즈마리(qoem****),"이영화의 포인트는 음악도 음악이지만 인물들의 감정선이다, 묘하게 썸을 탈랑말랑하면서 쿨하게 자기자리로 돌아오는 그 묘하면서 디테일한 감정선의 변화, 이걸 못느끼는 둔한사람들에겐 이 영화는 단지 진부한 원스 모방작으로...",10,498,34,2014-08-20 17:54,0
22,윤효주(chic****),최고입니다. 그레타에 푹 빠졌습니다. 영화관에서 춤추고 싶긴 처음.,10,437,34,2014-08-13 19:56,0
23,free****,최근본영화중에 가장좋았습니다! 긴장감넘치는 영화가 많은지금 심신이 편안해지는 영화에요! 완전강추합니다!,10,413,30,2014-08-14 3:09,관람객
24,정일근(jung****),박평식 평론가 평론도 축축,10,416,40,2014-08-13 20:06,0
25,히로스애(pjj7****),노래가 너무 좋네요~  좋은 힐링영화였습니다.,10,328,19,2014-08-13 21:34,관람객
26,대한민국 육군병장(hoju****),음악 듣기가 취미인사람이라면 강추!중간중간소름 돋습니다~!!,10,268,17,2014-08-13 21:08,0
27,연가(5463****),노래도 엄청좋고 재밌어요,10,253,21,2014-08-13 3:17,0
28,dolphin(phin****),잔잔하고 음악마저 감동적이에요 추천추천,10,234,20,2014-08-13 20:27,관람객
29,무국(ohsi****),평론가 평점 도대체 왜있는거임? 보다보니까하도 어이가 없음,10,249,38,2014-08-13 20:02,0
30,BaeBae(jeon****),"방금 보고 들어오는길 ost 감상-최근 본 영화중에 장르상관없이, 최고, 영화많이 보러다니지만 댓글 다는거 처음이다, 남주여주 밴드 함께한 노래도 정말 좋지만 마지막 데이브 lost stars 오리지날로 부르는데 남...",10,213,12,2014-08-14 2:24,0
