,nickname,text,score,like,dislike,time,watch_movie
0,K_Jae(sa02****),한국어 제목의 완벽한 승리다.,9,391,23,2015-11-28 0:06,0
1,호원아(s980****),드류베리모어 왜이렇게 이쁘니..,10,210,15,2013-07-22 13:31,0
2,천옌시(vic4****),"휴 그랜트, 드류 베리모어 로맨틱 코메디 끝판왕 두 배우가 만들어낸 걸작ost 비주얼 연기 제목 완벽",10,241,117,2013-12-28 12:19,0
3,나이루(dkdl****),나 왜 이거 평점 안 메겼지? 이 훌륭한 영화를! 이 영화 보고 드류 베리모어랑 휴 그랜트랑 결혼했으면 좋겠다고 생각했음. 둘이 너무 잘 어울려서.,10,129,17,2013-12-18 0:57,0
4,IamGod(well****),수식어가 필요없는 영화.,10,120,13,2013-09-02 8:12,0
5,손나은(asdf****),노래가너무좋음 코라사랑해,10,102,9,2014-10-21 15:08,0
6,wlsg****,진짜 재밌구요 사랑이가득 담긴영화예요 ㅋ,10,95,12,2007-03-11 21:06,0
7,나가노 메이(ldy2****),그 당시 썸 타던 분과 극장에서 봐서 더 기억에 남는 영화.,9,37,3,2019-02-19 0:07,0
8,엔돌핀(332c****),로맨스에 음악이 더해져 더 좋은 영화 乃,10,23,10,2015-12-06 20:28,0
9,하늘(sky0****),스토리와 연기 모든게 완벽했지만 배우들의 얼굴마저 완벽한 영화. 보면서 기분이 좋아졌다.적당한 코미디 요소와 달달한 로맨스의 합.강력 추천,10,9,0,2019-10-04 23:42,0
10,해와달님(hang****),이거 까는애들은 대체 무슨영화가 재밋냐? 믄내용인지도모르는 예술영화보면서 지 잘낫다고 생각하는 애들은가 쯔쯔,10,25,18,2015-06-30 2:19,0
11,귀염둥이(blue****),로코계의 수작..개인적으로 제목이 영화의 여운을 살리는데 큰 역할을 했다고 본다,10,5,0,2020-04-26 1:50,0
12,jhkc****,2007년에 그 여자 작사 그 남자 작곡에서의 드류베리모어는 그냥 여신이다.,10,5,0,2019-11-25 19:12,0
