,nickname,text,score,like,dislike,time,watch_movie
0,hull(miss****),코너의 상상씬에서 부모님이 함께 춤을 추고 형이 머리 손질하고 와서 라피나 전남친 무찔러주는 장면은 조금 뭉클했음. 누구나 그런 거 한번쯤 상상해보지 않았나 싶어서. 부모님은 사이 좋고 멋진 형에 사랑하는 여자는 날...,9,3567,61,2016-05-19 23:02,관람객
1,수(suli****),"지금 가지 않으면, 절대 못가니까.",10,2508,49,2016-05-19 2:46,0
2,백복치(bsj4****),형이 하드캐리&진주인공 이네요!!!ㅠㅠㅠㅠ,10,2254,38,2016-05-19 10:55,0
3,홍용진(jyki****),비긴어게인과 원스랑은 또 다른 감동...곡성 시빌워도 좋지만 이런 영화가 우리 삶을 아름답게 채워주지,9,1964,63,2016-05-19 0:02,0
4,박지혜(myid****),토끼 키우는 남자애 너무 귀엽지 않나요? 정말,9,1422,21,2016-05-25 12:08,관람객
5,yjs2****,감독이 중요한게 뭔지 아는것 같다. 적당히 오려낸 스토리로 성장하는 주인공과 음악을 잘 보여줬다. 네이버 평점 9.0 이상,10,1420,38,2016-05-19 10:32,0
6,0Nam(dks0****),솔직히 이야기는 비긴어게인보다 좋았다,9,1262,65,2016-05-19 9:06,0
7,랄라리롤로(eazy****),진짜 극장에서 보지 않으면 만 번 후회할 영화임! 인생영화.... 다시 보고 싶음!,10,1073,41,2016-05-19 14:41,관람객
8,아지뱀(yhoc****),"행복한 슬픔. 존 카니 감독의 어린 시절 경험을 바탕으로 이 영화를 통해 청춘에게 하고 싶은 말을 전했다. 유쾌하고 가슴이 벅차다. 그리고 형이 너무 멋있었다. 80년대 분위기, OST 정말 좋았어요",10,996,16,2016-05-19 11:17,0
9,히스티온(hist****),"'사랑', '가족', '꿈'. 수 많은 도전들을 뚫고 나가는 대리만족을 느끼고 싶다면. 강력추천.",10,875,17,2016-05-19 10:11,0
10,김재완(oreo****),주인공도 주인공이지만 주인공의 형 에게 정말 인상을 많이받았어요...표현하진않지만 가슴속에 상처가 많고 동생을 정말 생각해주고 있는것 같아요...정말 멋진형...ㅠㅠㅠㅠ 완전 재밌고 영화의 모든 노래는 자연스럽게 나...,10,739,5,2016-05-24 15:40,관람객
11,readysetgo(rkde****),"절대로 적당히해선 안돼, 알았지? 이 대사를 듣고머리를 한대맞은듯 정신이 번쩍들었다.",10,641,5,2016-05-25 9:36,0
12,PatrickJane(ktem****),존 카니는 진정 믿고 볼 수 있는 음악영화 감독!,10,651,29,2016-05-19 14:52,관람객
13,campeon(kuun****),제발 이런 영화좀 상영관수를 많이 늘려줬으면 좋겠다...이런 좋은 영화를 시간이며 영화관이며 찾아가서 봐야  한다는게 너무 안타깝네요ㅠㅠ,10,549,14,2016-05-19 17:04,0
14,haca****,음악이 너무 좋았어요~ 스토리도 소소한 케미가 있어 즐겁게 봤어요,10,506,23,2016-05-19 0:12,관람객
15,서민지(smj9****),"원스, 비긴 어게인을 잇는 영화. 역시 음악은 모든 것을 치유한다",10,493,20,2016-05-19 12:47,관람객
16,멍멍이(dlau****),"원스(감탄), 비긴어게인(전율), 싱 스트리트(소름)",10,474,28,2016-05-19 18:32,0
17,smk8****,"처음엔 그저 한 눈에 반한 그녀를 위한 노래였지만 점점 그녀뿐이 아닌 가족, 나를 위해 부르는 주인공이 노래뿐만이 아닌 내면의 모습까지 성장한다. 노래 하나하나가 자신의 삶을 보여주며 관객들에게 다시 한번 내 삶을...",10,370,2,2016-05-21 13:28,0
18,도도(soni****),영화를 보고 나니 여운이 계속 남네요. 감독의 전작보다 훨씬 유쾌하고 음악도 더 좋았습니다. 인생영화 감사합니다!!,10,380,20,2016-05-19 13:35,관람객
19,김탱(teaw****),그들의 청춘이 눈물나게 부러웠다. 주인공의 형에 감정이입이 많이 됐다.28살 나는 지금이라도 런던행 쪽배에 몸을 실을 수 있을까?,10,353,5,2016-05-25 16:48,0
20,Enjolras(jaec****),시작은 일단 저질러놓고 하는것! 음악과스토리 배우들 모두다 너무 좋다!,10,269,6,2016-05-19 11:52,0
21,암탉(mada****),존 카니 감독 영화 원래도 좋아했는데 싱스트리트 보고 제일좋아하는 감독됨! 앞으로 이 감독 영화는 무조건 볼듯,10,261,10,2016-05-19 16:12,관람객
22,오늘(khi2****),최고의 성장음악영화에요,10,260,12,2016-05-19 0:32,0
23,tier****,남주 여주 풋풋한 사랑이야기에 신나고 풍성한 밴드 사운드까지 있으니까 간질간질하고 설레는 느낌ㅋㅋㅋ 여운도 길게 남고!,10,242,5,2016-05-19 16:37,관람객
24,jt(savi****),원스 비긴어게인 처럼 감성적인 느낌 좋아해서 이건 딱봐도 밝고 뻔한 느낌이여서 거를려다 볼거 없어서 봤는데 인생영화 급이였습니다.. 뭉클한 부분도 많고 느끼는 부분도 많아서 보면서 여러번 짜릿했고 가슴뛰었네요,10,225,6,2016-05-19 18:53,0
25,타조알(wkfs****),"노래도 다 좋고, 나는 지금 인생의 어디에 있는가 질문도 던지게 되는 영화.",10,202,6,2016-05-19 11:11,0
26,sinc****,흥겹고도 아련하다...,10,171,2,2016-05-19 17:39,0
27,통속소설(jiwo****),"스물 다섯, 반 즈음 헐었다고 생각한 나의 이십대에 따듯한 반창고 한 장.",10,183,17,2016-05-19 13:49,0
28,강(mgk8****),무언가 잘 안 되거나 미래에 대한 고민이 많으신 분이 보시면 더 좋을 것 같아요 산뜻함 듬뿍 듣고 왔습니다 꼭 보세요!,10,169,6,2016-05-19 17:25,관람객
29,마루짱(mina****),감독의 소망을 가득 담은 영화성장영화로 굳굳,8,144,13,2016-05-19 0:29,관람객
30,dorothy(dora****),개존나게 울읐다. 너무 공감되서.,10,120,6,2016-05-19 12:08,0
31,말푀(shtn****),곡성으로 지친마음 제대로 힐링받음,10,119,10,2016-05-19 23:13,관람객
32,찰랑(imra****),또 하나의 인생 영화... 진심 영화 보고 난 후 하루종일 행복했음 노래도 너무 좋고 캐릭터들도 너무 귀엽다,10,115,7,2016-05-19 16:40,관람객
33,ddddzdf(bbon****),"첨엔 어찌 저리 찌질이들만 모아놨을까 하면서 보는데 점점 정이갑니다 ^,^ 늠나 정가는것 재밌어요",9,94,2,2016-05-19 20:31,0
34,lore****,비긴 어게인보다 넘나 좋았음! 간만에 인생영화 만남 ㅠㅠ 영화도 좋았고 보고나면 ost가 계속 생각나서 흥얼거리게됨!,10,89,8,2016-05-19 16:38,관람객
35,살쾡이(wild****),존 카니 감독 전작들보다 재밌고 인생영화가 될 갓 같아요~ 추천합니다!!!,10,87,7,2016-05-19 14:45,관람객
36,오브(aube****),오늘부터 싱 스트리트가 내 인생영화!!,10,74,5,2016-05-19 17:04,관람객
37,lnh0****,역시 존 카니 ost 넘나 좋은 것.,10,74,7,2016-05-19 0:36,0
38,dizm****,영화 너무 좋다 ... 내게는 비긴어게인 그 이상임,10,66,2,2016-05-19 14:59,0
39,피키피키(iami****),음악과 함께 내용도 너무 풋풋했어요~~ 최고,10,63,5,2016-05-19 8:55,0
40,구육오(min1****),평점 처음 쓰는데 정말 오랜만에 괜찮은 영화를 본 것 같다. 신경을 자극하는게 아니라 심장을 자극하는 영화. 사랑에 설레고 꿈에 설레고 음악이 정말 잘 살린 것 같다. 스펙타클하고 자극적인거 생각 말고 감정과 음악에...,10,57,2,2016-05-19 23:13,0
41,라이(skym****),"경쾌하고 듣기 좋은 음악과 함께하는 코너의 성장드라마 네요ㅎ 나이 30에 더이상 새로울게 없다고 생각했는데 이 영화를 보고나니 ""나도 조금이라도 반짝이고 싶다"" 라는 생각을 하게 됐네요 ㅎ 좋은 영화...",9,58,3,2016-05-19 19:02,관람객
42,므빈(ycg2****),비긴어게인에 이어 다시 또 행복한 영화엿어요 ㅜㅜ노래도 너무 좋고 ㅜㅜ너무 좋네요,10,50,3,2016-05-19 11:51,0
43,cookiepooky(yeon****),ost 좋고 배우들도 사랑스럽다,10,47,3,2016-05-19 15:56,0
44,bluerain(xux1****),비긴어게인도 꿀잼이였지만 그것보다 훨씬낫더라 최고 삶 과 사랑의 대한 영화,10,50,6,2016-05-19 14:46,0
45,미스타조군(cjh6****),인생을 다시 생각하게 되는 영화 다시 한번 보고싶게 되는 영화입니다 영화관이 많이 없다는게 아쉽네요,10,46,3,2016-05-19 15:07,관람객
46,12월(dlqm****),한번 더 꼭 보고싶네요 음악도 좋고 여운도 있고..괜히 존카니 감독은...천재에요...엄지척!,10,43,2,2016-05-19 16:39,관람객
47,love****,개봉하기만을 기다렸다가 아침일찍 보고온 보람이 있음! 한번 더 볼거임 강추,10,41,2,2016-05-19 16:35,관람객
48,ㅅㅉ(top_****),주인공 둘 다 예뻨ㅋㅋㅋㅋ,10,40,2,2016-05-19 18:49,0
49,빡친년(bbaa****),감성 충전하고 싶은 사람이라면 꼭 봐야할 영화! 진짜 강력 추천!! 인생 영화로 등극한 사람 많을듯~~,10,42,5,2016-05-19 15:13,관람객
50,tpwlsd(usom****),100여분동안 힐링받고 온 느낌?? 너무 훌륭하다... 노래 하나하나가.. 명곡임...,10,36,1,2016-05-19 19:07,0
51,santata7897(feel****),"역시.... 역시!!!! 풋풋하고 설레고 사랑스럽다..! 지쳐있는 마음을 싱그러운 소년과 소녀, 그리고 음악이 위로해주는 영화.",10,41,6,2016-05-19 13:33,관람객
52,태리리(buy0****),나의 지난 청소년기를 돌아보고 앞으로의 나에게 용기와 희망을 주는 것 같은 기특한 영화!,10,35,2,2016-05-19 17:06,관람객
53,하마(toyh****),저는 비긴어게인보다 더 좋았어요!풋풋하고 귀여운애들 보는맛..ㅎ 노래도 다 좋았어요,9,36,3,2016-05-23 10:27,관람객
54,쩐다(ekdm****),시사회로 봤는데 역시 믿고보는 존카니감독 음악 너무 좋음ㅠㅠ,10,36,3,2016-05-19 11:54,0
55,YOON(ekdb****),"떠나야겠습니다 세계여행. 남들은 공부하고 스펙채울때 전 갈래요. 너무 가고싶었지만, 무서워서..뒤쳐질까봐,후회할까봐 포기하려 했는데.지금 이 매일매일이 기회인데 놓치고 있었네요. 나이가 들어서 이 영화를 본다면 가슴...",10,32,0,2017-09-25 3:41,0
56,oret****,마지막 장면은 좀 과한 설정 같지만 오히려 그렇기 때문에 싱스트리트가 전하고자하는 내용이 와닿은것 같다.,9,36,4,2016-05-24 20:38,관람객
57,Inss(leej****),"비긴어게인보다 더 대중성있고 , 보는내내 힐링되는 귀",10,34,3,2016-05-19 17:44,0
58,귀차니스트(baks****),헤어나오지 못할것 같다,10,28,1,2016-05-19 23:01,0
59,하무(choh****),이런 영화가 더 많아졌으면 좋겠다.,10,27,1,2016-05-20 19:12,0
